City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
69,Pilar,BR,-9.5972,-35.9567,76.93,87,35,6.02,scattered clouds
70,Yellowknife,CA,62.456,-114.3525,23.56,80,100,23.02,light snow
71,Bilibino,RU,68.0546,166.4372,-24.5,98,78,4.43,broken clouds
72,Mahebourg,MU,-20.4081,57.7,71.89,83,20,2.3,few clouds
73,Tiznit,MA,29.5833,-9.5,68.54,34,11,4.61,few clouds
74,Shingu,JP,33.7333,135.9833,59.2,83,5,5.97,clear sky
75,Quelimane,MZ,-17.8786,36.8883,78.75,89,0,4.61,clear sky
76,Mar Del Plata,AR,-38.0023,-57.5575,69.84,86,75,12.66,broken clouds
77,Anadyr,RU,64.75,177.4833,-12.5,83,20,8.95,fog
78,Avarua,CK,-21.2078,-159.775,77.05,69,20,11.5,few clouds
79,Codrington,AU,-38.2667,141.9667,53.8,88,100,8.88,overcast clouds
80,San Patricio,US,28.017,-97.5169,84.18,58,98,6.98,overcast clouds
81,Inirida,CO,3.8653,-67.9239,83.64,79,53,1.57,heavy intensity rain
82,Vila Franca Do Campo,PT,37.7167,-25.4333,58.19,75,100,3.53,overcast clouds
83,Levelland,US,33.5873,-102.378,45.19,26,60,13.67,broken clouds
84,Emerald,AU,-23.5333,148.1667,70.34,72,1,11.72,clear sky
85,Wrzesnia,PL,52.3251,17.5652,46.54,81,99,8.23,overcast clouds
86,Pevek,RU,69.7008,170.3133,-5.51,100,97,2.48,overcast clouds
87,Yumen,CN,40.2833,97.2,27.66,52,0,3.87,clear sky
88,Praia Da Vitoria,PT,38.7333,-27.0667,59.76,94,20,9.53,few clouds
89,Evensk,RU,61.95,159.2333,20.03,95,100,14.58,snow
90,Vanavara,RU,60.34,102.2797,22.62,90,100,13.13,overcast clouds
91,Musoma,TZ,-1.5,33.8,68.54,84,92,4.18,light rain
92,Palauig,PH,15.435,119.9045,80.4,76,19,4.27,few clouds
93,Aykhal,RU,66.0,111.5,3.99,96,100,11.83,light snow
94,Cherskiy,RU,68.75,161.3,-27.62,100,55,1.92,broken clouds
95,Nanortalik,GL,60.1432,-45.2371,23.56,89,100,7.74,overcast clouds
96,Vardo,NO,70.3705,31.1107,37.38,100,75,11.5,light intensity drizzle
97,Klaksvik,FO,62.2266,-6.589,50.92,84,38,25.14,scattered clouds
